,Jobtitle,Location,Salary,Company,Cities,USDSalary
3555,Regional Wetland Specialist (Environmental Specialist 4),"Bellevue, WA",52536,State of Washington Dept. of Ecology,Washington,52536.0
3567,Senior Regulatory Toxicologist (Toxicologist 3),"Lacey, WA",70620,State of Washington Dept. of Ecology,Washington,70620.0
3587,"DIVISION TECHNICAL DIRECTOR, NAVAL UNDERSEA WARFARE CENTER D...","Keyport, WA",126148,US Department of the Navy,Washington,126148.0
3594,Software Engineer - Backend,"Seattle, WA 98104 (First Hill area)",100000,Textio,Washington,100000.0
3600,Toxics Reduction Engineer (Environmental Engineer 3),"Lacey, WA",67236,State of Washington Dept. of Ecology,Washington,67236.0
3604,Software Engineer,"Adelaide, WA",87000,QxBranch,Washington,87000.0
3923,Data Scientist / Statistician,"Seattle, WA 98103 (Green Lake - Wallingford area)",85000,Kids on 45th,Washington,85000.0
3935,Machine Learning/Data Scientist,"Seattle, WA",200000,Gradient.io,Washington,200000.0
3964,Senior Computational Linguist,"Seattle, WA",180000,R2 Global AI,Washington,180000.0
3988,Biostatistician,"Seattle, WA 98121 (Belltown area)",80000,Axio Research LLC,Washington,80000.0
4026,Data Scientist Class A - II,"Bellevue, WA",81000,JMA,Washington,81000.0
5090,SQL Developer/BI/Data engieer - Cosmos/ Scope,"Redmond, WA",79000,HCL Technologies,Washington,79000.0
5098,Postdoctoral Fellow,"Seattle, WA 98109 (Westlake area)",53000,Fred Hutchinson Cancer Research Center,Washington,53000.0
5995,Interdisciplinary General Engineer/Physical Scientist,"Golden, CO",94890,US Department of Energy,Denver,94890.0
6011,Munitions Response Project Engineer or Scientist,"Lakewood, CO",50000,Weston Solutions,Denver,50000.0
6094,Senior Professional Research Assistant,"Aurora, CO",60000,University of Colorado,Denver,60000.0
6113,Graduate Academic Advisor,"Boulder, CO",48000,University of Colorado Boulder,Denver,48000.0
6131,Center Administrator,"Aurora, CO",65000,University of Colorado,Denver,65000.0
6179,Operations Research Analyst,"Buckley AFB, CO",72168,US Department of the Air Force,Denver,72168.0
6272,Front End Developer IV,"Boulder, CO 80301",95000,Battelle,Denver,95000.0
6274,Postdoctoral Researcher – Automotive Thermal Systems and HVA...,"Golden, CO",41000,National Renewable Energy Laboratory,Denver,41000.0
6430,Engineer Senior-Manufacturing (663882),"Boulder, CO",86000,Ball Aerospace,Denver,86000.0
6434,Engineer II-Thermal (664197) Security Clearance Required,"Boulder, CO",67000,Ball Aerospace,Denver,67000.0
6435,Project Engineer II - Mission Assurance Manager (664654),"Boulder, CO",91000,Ball Aerospace,Denver,91000.0
6437,Electrical / Architectural Engineer,"Denver, CO",90000,Burns & McDonnell,Denver,90000.0
6579,Environmental Scientist/Engineer,"Wheat Ridge, CO 80033",60000,"Pacific Western Technologies, Ltd.",Denver,60000.0
6594,Experienced Performance Marketer,"Denver, CO",60000,Swanky Smiles,Denver,60000.0
6626,Senior Process Enginer,"Denver, CO",100000,Personnel Services,Denver,100000.0
6807,Process Engineer,"Denver, CO",84000,"Advanced Search Group, Inc",Denver,84000.0
6808,Software Architect,"Denver, CO 80237 (Southeastern Denver area)",91000,GEI Consultants Inc,Denver,91000.0
6810,Government Services Solution Architect,"Golden, CO",124000,xentity corporation,Denver,124000.0
6815,Independent Consultant - Government Solution Architect,"Denver, CO",126000,xentity corporation,Denver,126000.0
7951,Software Engineer II (OPIR Team),"Centennial, CO",83000,Cosmic AES,Denver,83000.0
9008,Policy & Research Analyst,"San Francisco, CA",70866,United States District Court,San+Francisco,70866.0
9065,"Data Scientist, Operations Research","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9145,Data Scientist,"San Francisco, CA",150000,All-In Analytics,San+Francisco,150000.0
9166,"Sr. Data Scientist, City Operations","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9170,Chief Data Scientist,"San Francisco, CA",190000,Harnham US,San+Francisco,190000.0
9176,"Sr. Data Scientist, Partnerships","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9182,Sr. Finance Data Scientist,"San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9190,"Sr. Data Scientist, New Products","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9195,"Sr. Data Scientist, HR Analytics","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9203,Sr. Data Scientist of Products,"San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9205,Head of Data Science,"San Francisco, CA",200000,Harnham US,San+Francisco,200000.0
9228,Sr. Marketing Data Scientist,"San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9235,"Sr. Data Scientist, Consumer Package Goods","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9239,Lead Data Scientist,"San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9260,Principal Data Scientist,"San Francisco, CA",200000,Harnham US,San+Francisco,200000.0
9291,"Sr. Data Scientist, Customer Logistics Analytics","San Francisco, CA",130000,All-In Analytics,San+Francisco,130000.0
9307,Regulatory Analytics & Research Data Scientist,"San Francisco, CA 94105 (Financial District area)",121000,Pacific Gas And Electric Company,San+Francisco,121000.0
9310,Sales Program Analyst,"San Francisco, CA",61000,JUUL Labs,San+Francisco,61000.0
9327,Head of Data Science,"San Francisco, CA",138000,"Zendrive, Inc.",San+Francisco,138000.0
9328,Data Scientist,"Redwood City, CA 94063",137000,C3,San+Francisco,137000.0
9334,"PHC Associate Data Scientist/Data Scientist, Real World Data...","South San Francisco, CA",110000,Genentech,San+Francisco,110000.0
9367,Senior Data Scientist,"San Francisco, CA",160000,Jobspring Partners,San+Francisco,160000.0
9410,Machine Learning Engineer,"San Francisco, CA",90000,Synapse Financial Technologies Inc,San+Francisco,90000.0
9413,Senior Data Scientist,"San Francisco, CA",120000,Workbridge Associates,San+Francisco,120000.0
9496,"Manager, Data Science/Machine Learning","San Francisco, CA",96000,Salesforce,San+Francisco,96000.0
9568,Deep Learning Scientist,"San Francisco, CA",175000,Harnham US,San+Francisco,175000.0
9571,Lecturer - Sutardja Center for Entrepreneurship & Technology,"Berkeley, CA",61930,University of California Berkeley,San+Francisco,61930.0
9635,Software Engineer - Data,"San Francisco, CA",120000,Harnham US,San+Francisco,120000.0
9757,Postdoctoral Scholar - Science Education Technology - Gradua...,"Berkeley, CA",51200,University of California Berkeley,San+Francisco,51200.0
9788,Project Scientist - Department of Physics - University of Ca...,"Berkeley, CA",67300,University of California Berkeley,San+Francisco,67300.0
9802,Principal Data Engineer - Machine Learning,"San Francisco, CA",150000,Workbridge Associates,San+Francisco,150000.0
9828,Senior Business Analyst - Insurance,"San Francisco, CA",100000,Blue Owl,San+Francisco,100000.0
9934,Systems Engineer - Mapping Analyst,"San Francisco, CA",94000,Cruise Automation,San+Francisco,94000.0
9961,Application Security Engineer,"San Francisco, CA",180000,Blue Owl,San+Francisco,180000.0
9983,Senior Data Science,"Redwood City, CA",140000,Workbridge Associates,San+Francisco,140000.0
9994,Big Data Engineer,"San Francisco, CA",130000,Harnham US,San+Francisco,130000.0
10045,"Software Engineer, Square Capital","San Francisco, CA 94103 (South Of Market area)",107000,Square,San+Francisco,107000.0
11992,ENVIRONMENTAL SCIENTIST SPECIALIST 1-3,"Phoenix, AZ",40000,State of Arizona,Phoenix,40000.0
11998,"ENVIRONMENTAL SCIENTIST 2,3 - DRINKING WATER","Phoenix, AZ",45000,State of Arizona,Phoenix,45000.0
11999,Data Scientist,"Scottsdale, AZ",80000,VincentBenjamin,Phoenix,80000.0
12000,"ENVIRONMENTAL SCIENTIST 3, 4","Phoenix, AZ",50000,State of Arizona,Phoenix,50000.0
12004,ENVIRONMENTAL SCIENTIST - AIR,"Phoenix, AZ",67000,State of Arizona,Phoenix,67000.0
12007,GENERAL PHYSICAL SCIENTIST,"Phoenix, AZ",35854,US Department of the Navy,Phoenix,35854.0
12012,Planning Research Analyst (Open until filled),"Phoenix, AZ",52139,Maricopa County Community College District,Phoenix,52139.0
12057,MATHEMATICIAN,"Phoenix, AZ",33394,US Department of the Navy,Phoenix,33394.0
12070,OPERATIONS RESEARCH,"Phoenix, AZ",33394,US Department of the Navy,Phoenix,33394.0
12071,INTERIOR DESIGNER,"Phoenix, AZ",35854,US Department of the Navy,Phoenix,35854.0
12079,TAX ANALYST 2 - TAX POLICY AND RESEARCH,"Phoenix, AZ",57000,State of Arizona,Phoenix,57000.0
12081,Computer Engineer/Electronics Engineer/Computer Scientist,"Phoenix, AZ",37630,US Department of the Army,Phoenix,37630.0
12108,Big Data Engineer – DevOps and Python,"Tempe, AZ",100000,Request Technology,Phoenix,100000.0
12118,Data Scientist - Inventory,"Tempe, AZ",102000,Carvana,Phoenix,102000.0
12119,Environmental Scientist II - Section 404 Permitting,"Phoenix, AZ",45000,AZ Dept of Environmental Quality,Phoenix,45000.0
12120,Data Scientist - Credit,"Tempe, AZ",98000,Carvana,Phoenix,98000.0
12121,Data Scientist / Engineer,"Tempe, AZ",81000,Carvana,Phoenix,81000.0
12122,Data Scientist,"Scottsdale, AZ",86000,AdviNow Medical,Phoenix,86000.0
12124,Data Scientist,"Chandler, AZ",92000,Newton Group Transfers,Phoenix,92000.0
12125,Data Scientist,"Chandler, AZ",93000,Brightside,Phoenix,93000.0
12126,Senior Data Scientist,"Tempe, AZ",105000,IITS,Phoenix,105000.0
12276,Data Science Engineer,"Tempe, AZ",86000,Carvana,Phoenix,86000.0
12279,Senior Data Science Engineer,"Tempe, AZ",101000,Carvana,Phoenix,101000.0
12282,Senior Software Engineer,"Scottsdale, AZ",96000,AdviNow Medical,Phoenix,96000.0
14990,Research Scientist - Cancer Biology,"Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
14998,Research Scientist - Immunology,"Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
14999,"Medical Lab Scientist, Lab Services - Clear Lake Campus - 62...","Clear Lake City, TX",53600,UTMB,Houston,53600.0
15004,"Research Scientist, Hepatobiliary & Pancreatic Cancers - Qua...","Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
15032,Research Scientist - Leukemia,"Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
15033,Research Scientist (non-laboratory) - Hematological Malignan...,"Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
15034,"Senior Medical Lab Scientist, Lab Services - Clear Lake Camp...","Clear Lake City, TX",59200,UTMB,Houston,59200.0
15067,Research Scientist - Dr. Kapil N. Bhalla's Laboratory,"Houston, TX 77030 (Medical area)",53200,MD Anderson Cancer Center,Houston,53200.0
15070,Institute Associate Scientist II - Drug Metabolism and Pharm...,"Houston, TX 77030 (Medical area)",48000,MD Anderson Cancer Center,Houston,48000.0
15082,Research Statistical Analyst - Biostatistics,"Houston, TX 77030 (Medical area)",68400,MD Anderson Cancer Center,Houston,68400.0
15090,"Principal Institute Research Scientist - Drug Discovery, Bio...","Houston, TX 77030 (Medical area)",129000,MD Anderson Cancer Center,Houston,129000.0
15123,Institute Senior Research Scientist - Translational Biomarke...,"Houston, TX 77030 (Medical area)",112000,MD Anderson Cancer Center,Houston,112000.0
15128,Institute Research Scientist - Flow Cytometry,"Houston, TX 77030 (Medical area)",98000,MD Anderson Cancer Center,Houston,98000.0
15140,Senior Research Scientist - In Vivo & Flow Cytometry,"Houston, TX 77030 (Medical area)",59200,MD Anderson Cancer Center,Houston,59200.0
15144,Quality Assurance Analyst (Research),"Houston, TX",45984,Baylor College of Medicine,Houston,45984.0
15148,Research Technician III,"Houston, TX",33500,Baylor College of Medicine,Houston,33500.0
15154,Institute Research Scientist - In-Vitro Pharmacology,"Houston, TX 77030 (Medical area)",98000,MD Anderson Cancer Center,Houston,98000.0
15155,Research Assistant II - Sarcoma Medical Oncology,"Houston, TX 77030 (Medical area)",34400,MD Anderson Cancer Center,Houston,34400.0
15157,Institute Senior Research Scientist - Translational In-Vivo...,"Houston, TX 77030 (Medical area)",112000,MD Anderson Cancer Center,Houston,112000.0
15170,Senior Quality Assurance Analyst (Research),"Houston, TX",56656,Baylor College of Medicine,Houston,56656.0
15174,Programmer / Analyst II,"Houston, TX",75000,Baylor College of Medicine,Houston,75000.0
15175,Institute Sr Research Scientist - Flow Cytometry - ECLIPSE,"Houston, TX 77030 (Medical area)",112000,MD Anderson Cancer Center,Houston,112000.0
15180,Psychologist - Department of Preventive Medicine & Community...,"Houston, TX 77001",90000,UTMB,Houston,90000.0
15209,Senior Scientific Programmer,"Houston, TX",74500,Baylor College of Medicine,Houston,74500.0
15220,Visualization Engineer,"Houston, TX",115000,Clearpoint,Houston,115000.0
15236,Principal Data Scientist,"Houston, TX",110000,Zdaly,Houston,110000.0
15238,Data Scientist,"Houston, TX",75000,Mercury Data Science,Houston,75000.0
15242,Core Data Scientist- medical research,"Houston, TX",120000,Protege,Houston,120000.0
15247,Reserach Tech - Gynecology,"Houston, TX",35000,Baylor College of Medicine,Houston,35000.0
15252,Environmental Specialist,"Houston, TX",80000,"Professional Environmental Engineers, Inc.",Houston,80000.0
15255,Recruiter,"Houston, TX",40000,Decide,Houston,40000.0
15263,BluePrism - Technology Analyst,"Houston, TX",100000,Axius Technologies Inc,Houston,100000.0
15267,Database & BI Analyst,"Houston, TX 77074 (Bellaire area)",88000,Rekruiters,Houston,88000.0
15272,C++ Software Engineer,"Houston, TX 77006 (Montrose area)",50000,Rekruiters,Houston,50000.0
17982,Statistical Data Analyst,"Pittsburgh, PA",30732,The University of Pittsburgh,Pittsburgh,30732.0
17986,Data Scientist,"Pittsburgh, PA",46644,The University of Pittsburgh,Pittsburgh,46644.0
18001,Interdisciplinary Supervisor,"South Park, PA",89506,US Department of Labor,Pittsburgh,89506.0
18004,Data Analyst and Research Project Coordinator,"Pittsburgh, PA",30732,The University of Pittsburgh,Pittsburgh,30732.0
18009,Research Review Analyst (RRA) - Exempt/Expedited,"Pittsburgh, PA",35100,The University of Pittsburgh,Pittsburgh,35100.0
18026,Research Project Coordinator,"Pittsburgh, PA",30732,The University of Pittsburgh,Pittsburgh,30732.0
18029,Research Technician,"Pittsburgh, PA",23868,The University of Pittsburgh,Pittsburgh,23868.0
18033,Flow Cytometry Technologist,"Pittsburgh, PA",23868,The University of Pittsburgh,Pittsburgh,23868.0
18034,Computer Engineer,"Pittsburgh, PA",87252,US Department of Energy,Pittsburgh,87252.0
18046,Laboratory Research Specialist,"Pittsburgh, PA",23868,The University of Pittsburgh,Pittsburgh,23868.0
18052,University Graduate Hire - Software & QA Engineer (SS&S),"Cranberry Township, PA 16066",88000,NetApp,Pittsburgh,88000.0
18054,Data Science Software Engineer,"Pittsburgh, PA",95000,Fortive Corporate,Pittsburgh,95000.0
18102,"Lead Analyst, Data Management Quant Analysis","Pittsburgh, PA",52000,BNY Mellon,Pittsburgh,52000.0
18104,Mechanical Designer III,"Pittsburgh, PA 15238",60000,Neuro Kinetics Inc.,Pittsburgh,60000.0
18106,Process Development Scientist,"Pittsburgh, PA",80000,Apex Life Sciences,Pittsburgh,80000.0
18561,Senior Software Engineer - Machine Learning,"Pittsburgh, PA 15222 (Strip District area)",108000,Petuum,Pittsburgh,108000.0
18562,Senior Software Engineer - Autonomy,"Warrendale, PA 15086",95000,Neya Systems LLC,Pittsburgh,95000.0
18563,Senior Software Engineer - Autonomy,"Warrendale, PA",95000,Neya Systems,Pittsburgh,95000.0
18564,Senior Software Engineer - Natural Language Processing,"Pittsburgh, PA 15222 (Strip District area)",103000,Petuum,Pittsburgh,103000.0
18565,Senior Staff Software Engineer - Natural Language Processing,"Pittsburgh, PA 15222 (Strip District area)",100000,Petuum,Pittsburgh,100000.0
18566,Senior Software Engineer - Machine Learning - Infrastructure,"Pittsburgh, PA 15222 (Strip District area)",98000,Petuum,Pittsburgh,98000.0
18567,Senior Staff Software Engineer - Machine Learning - Workflow,"Pittsburgh, PA 15222 (Strip District area)",105000,Petuum,Pittsburgh,105000.0
18569,Senior Software Engineer - Machine Learning,"Bridgeville, PA",96000,Oxford Solutions,Pittsburgh,96000.0
18850,Software Engineering Manager - Workflow,"Pittsburgh, PA 15222 (Strip District area)",117000,Petuum,Pittsburgh,117000.0
20973,Data Scientist,"Chelsea, MA",60041,Commonwealth of Massachusetts,Boston,60041.0
21020,"Director I, Data Products - BI","Boston, MA",127801,Liberty Mutual,Boston,127801.0
21024,Computer Scientist,"Jamaica Plain, MA",96411,US Department of Veterans Affairs,Boston,96411.0
21040,Application Scientist,"Cambridge, MA 02142 (East Cambridge area)",150000,"CareerEncore, Inc.",Boston,150000.0
21055,Data Scientist or Senior Data Scientist - Product Technology...,"Boston, MA",102500,Liberty Mutual,Boston,102500.0
21101,Account Manager,"Boston, MA 02298 (Central area)",45000,Social Fulcrum,Boston,45000.0
21103,"Senior Data Scientist, Claims Analytics - Global Risk Soluti...","Boston, MA",92000,Liberty Mutual,Boston,92000.0
21129,"Senior Data Scientist, Product Design & Modeling - Global Re...","Boston, MA",102500,Liberty Mutual,Boston,102500.0
21131,"PXO Data Scientist, AVP","North Quincy, MA",101000,State Street,Boston,101000.0
21137,Project Controls Specialist,"Boston, MA",70000,Kleinfelder,Boston,70000.0
21150,Principal Data Scientist (Deep Learning),"Boston, MA 02116 (South End area)",140000,Jobspring Partners,Boston,140000.0
21162,Senior Data Scientist (Marketing),"Cambridge, MA",150000,Darwin Recruitment,Boston,150000.0
21202,Astrophysicist,"Cambridge, MA",81077,U.S. Federal Government,Boston,81077.0
21233,"Interdisciplinary (Biologist, Toxicologist, Health Scientist...","Concord, MA",96411,US Department of the Army,Boston,96411.0
21331,Research Analyst II,"Boston, MA",49990,Commonwealth of Massachusetts,Boston,49990.0
21342,"Data Scientist, Data Center Systems","Andover, MA 01810",92000,Schneider Electric,Boston,92000.0
21347,Data Scientist,"Waltham, MA",85000,Hitachi Vantara,Boston,85000.0
21403,"Business Analyst II or Senior Business Analyst, Business Lin...","Boston, MA",74800,Liberty Mutual,Boston,74800.0
21406,Data Science Infrastructure Engineer,"Somerville, MA",77000,Partners HealthCare(PHS),Boston,77000.0
21418,Data Engineer,"Cambridge, MA",130000,Jobspring Partners,Boston,130000.0
21426,"Senior Analyst, Marketing Analytics","Boston, MA",74000,Liberty Mutual,Boston,74000.0
21452,Junior Quantitative Analyst - Investment Advisory,"Boston, MA 02109 (Central area)",36000,KNF&T Staffing Resources,Boston,36000.0
21653,IT Specialist (Applications Software),"Cambridge, MA",58330,U.S. Federal Government,Boston,58330.0
21675,"Director I, Data Science - Global Risk Solutions Predictive...","Boston, MA",128000,Liberty Mutual,Boston,128000.0
21770,Print Process Engineer,"Somerville, MA",92000,Formlabs,Boston,92000.0
21775,Front End Web Developer,"Cambridge, MA 02140 (North Cambridge area)",93000,nference,Boston,93000.0
21796,"Director, Customer Analytics","Boston, MA",145000,Harnham US,Boston,145000.0
21946,Electronics Engineer,"Cambridge, MA",113929,U.S. Federal Government,Boston,113929.0
22131,"Senior Product Manager, Personalization Platform","Boston, MA 02116 (South End area)",114000,Wayfair,Boston,114000.0
22132,"Research Technician - Molecular Biology & Microbiology, Scho...","Boston, MA 02111 (Central area)",27000,TUFTS University,Boston,27000.0
23642,Senior Investment Credit Research Analyst,"Boston, MA 02116 (South End area)",185000,Fanning Personnel,Boston,185000.0
24004,Research Scientist I,"Albany, NY",56326,Health Research Incorporated,New+York,56326.0
24036,Researcher,"New York, NY",62272,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,62272.0
24040,Bike Share Data Analyst,"Manhattan, NY",52143,New York City DEPARTMENT OF TRANSPORTATION,New+York,52143.0
24056,Sr. Data Scientist,"New York, NY",135000,MetroPlus Health Plan,New+York,135000.0
24061,Sr. Data Scientist,"New York, NY",170000,Glocomms,New+York,170000.0
24065,Data Scientist,"Latham, NY 12110",94000,Underwriters Laboratories,New+York,94000.0
24067,Analyst | Data Analysis,"Manhattan, NY",43618,New York City OFFICE OF MANAGEMENT & BUDGET,New+York,43618.0
24078,FAIR FARES INTEGRITY DATA ANALYST,"Manhattan, NY",73305,New York City HRA/DEPT OF SOCIAL SERVICES,New+York,73305.0
24086,Population Health Scientist,"Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24096,Data Analyst/Modeler,"Manhattan, NY",70286,New York City DEPARTMENT OF FINANCE,New+York,70286.0
24107,Research Scientist 1 / EOA# 2018-62,"Staten Island, NY",56604,"People With Developmental Disabilities, Office for",New+York,56604.0
24117,"Researcher/Data Analyst, Bureau of Mental Health","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24124,Data Analyst,"Manhattan, NY",70286,New York City HUMAN RIGHTS COMMISSION,New+York,70286.0
24145,Data Analyst,"Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24170,Quantitative Data Scientist,"New York, NY",170000,Harnham US,New+York,170000.0
24177,"Data Manager, Viral Hepatitis, Bureau of Communicable Diseas...","Queens, NY",59708,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,59708.0
24211,Senior Assessment Data Analyst,"Manhattan, NY",73305,New York City DEPARTMENT OF FINANCE,New+York,73305.0
24213,Data Scientist - VP - CIB Treasury Services,"New York, NY 10179 (Midtown area)",125000,JP Morgan Chase,New+York,125000.0
24218,Research Analyst,"Manhattan, NY",70286,New York City POLICE DEPARTMENT,New+York,70286.0
24238,Strategic Planning Analyst,"Queens, NY",73305,New York City DEPARTMENT OF CORRECTION,New+York,73305.0
24240,Project Director,"New York, NY",73305,New York City BOARD OF CORRECTION,New+York,73305.0
24261,Strategy and Research Analyst,"New York, NY",65000,Center for Employment Opportunities,New+York,65000.0
24265,Research Scientist - SSIE/WISE - The Research Foundation for...,"Vestal, NY",65000,Research Foundation of SUNY,New+York,65000.0
24269,Associate Research Scientist - Data Science & Precision Medi,"New York, NY",55000,Research Foundation of The City University of New...,New+York,55000.0
24306,Water Resources Modeler,"New York, NY",70286,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,70286.0
